Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality
974,4,1,2006,4.51040032878621,2,1
2692,1,3,1959,1.0812850035939967,0,7
2943,3,3,2018,3.350352831089572,1,2
4607,4,1,1983,3.15476547260814,0,10
3917,1,1,1988,0.8675027413704332,2,7
3940,2,1,1958,3.2170864636809324,0,10
2755,2,2,1979,4.386386395834772,1,4
1454,4,1,2010,2.9946050654736607,1,3
3824,1,2,2018,2.0609868936397358,0,6
1743,4,3,2008,2.5807602961064333,0,5
3135,5,2,1988,0.7038258962588485,2,9
3209,2,3,1951,4.671123558489986,0,3
3551,2,2,1970,2.962568841892894,0,3
4742,1,1,1977,0.8358729398574296,2,10
3057,3,2,1966,1.4187495162570936,0,2
1370,2,2,1973,3.1482722082154497,1,4
3125,5,1,1970,2.899631296755961,1,9
2665,1,3,1973,0.8445571629509254,2,10
1714,2,3,2008,3.7837035792384,0,10
2294,5,1,1968,1.0969005992042893,0,1
616,2,3,1965,3.4613716313713567,1,7
895,1,3,2021,2.146486143005962,1,6
1515,2,1,1975,1.0206559318113595,1,3
3824,3,2,1971,3.0256505513371583,2,8
2876,3,2,2011,4.223104496717655,1,10
3058,2,1,2017,1.498552073529678,0,2
3505,3,1,1983,4.126905053904126,0,3
2991,1,3,1996,2.137143385134201,2,10
3814,4,1,1996,2.439890881804802,1,2
627,2,1,1967,2.637279343686867,0,2
2605,1,2,1991,2.6861784301068417,0,8
3873,4,2,1986,0.5289584517355808,1,9
1228,2,1,1953,3.318450582452878,2,2
4269,3,1,1962,4.439325313048254,2,5
4507,2,3,2014,4.122336786796645,0,7
1023,4,1,1997,3.4612474273754934,2,2
3404,3,3,1977,3.529608977095392,0,1
3624,2,1,2022,2.0617806582472773,1,3
3946,2,1,1962,0.927087985703058,1,8
3802,2,2,1975,3.995557175332522,2,4
1363,4,1,1977,4.408878379205415,1,1
4727,2,2,1955,2.7818709082712,2,4
2496,3,2,2014,1.8448571086656385,2,9
2185,4,2,1981,3.9416043760667474,2,5
3290,3,1,1954,3.759549828482928,1,10
1577,5,1,1998,1.623974731009339,2,2
1454,4,3,2002,3.832541254667795,1,6
2357,1,3,1997,0.5827376396821877,1,3
3995,2,3,1981,3.4997768819571755,2,6
1811,4,2,2015,1.8304926767222864,1,8
633,5,2,1977,1.280043738388764,2,5
3238,2,1,2007,1.5668811883280305,0,7
2104,3,3,1984,1.0495018216592955,0,7
2680,4,1,1985,3.87512785463986,2,3
3702,5,1,1984,2.892098285487469,0,10
3691,5,2,1963,3.342395817873012,0,4
2139,1,1,1999,0.6110787075106308,0,10
3203,3,3,1950,3.648604590764188,2,2
4201,3,1,1996,2.660213197895385,0,8
1270,1,3,1953,2.3934254079466664,2,10
3622,1,3,1966,2.497567245439602,0,7
2693,3,3,1996,4.952442946008342,1,9
3256,4,1,1968,3.007897588914388,1,7
4789,3,2,1968,1.9289956094127576,2,4
1378,4,2,2022,3.3439490617828507,0,3
884,1,3,1964,4.072682236369841,1,2
3224,5,1,1964,4.608016001314589,1,5
4340,5,3,1962,1.881070309375565,0,10
4235,3,3,2000,1.9116793042342937,1,8
4761,4,3,2000,2.4717952249985986,2,4
4236,4,3,1970,1.284095307404208,1,2
1560,1,1,1999,3.610453142239432,0,9
4007,2,3,1989,4.659144235714022,0,2
1896,5,1,2003,0.97633956145059,1,6
4277,5,1,2015,0.772722084717094,1,7
2565,4,1,1987,0.7485013433436281,0,2
4219,1,2,1993,4.931805847851923,1,8
2042,2,3,1987,4.075163680340777,0,6
2163,2,1,2019,3.446190839103346,0,7
3423,3,1,1960,4.5714485375605305,0,2
2885,1,3,1986,3.062680178775142,2,2
1970,4,2,1952,4.413227371136498,2,8
2476,1,3,1992,0.7956145242034665,1,6
1995,4,1,2000,4.209471013456712,2,3
3579,5,1,1979,2.856036107884351,0,7
2180,2,3,2019,1.5799521374148089,1,5
2565,1,1,2004,1.038028989884254,2,5
4996,1,3,2014,4.252063779134723,1,1
1013,1,1,1977,4.737095837302702,1,7
1806,1,2,2001,2.576853174148731,0,2
3414,4,1,2006,3.058092043285729,0,8
3559,2,1,2003,3.2173294214312507,2,8
3656,2,2,2022,4.521358640057602,1,9
3940,4,2,1966,3.2484682880826736,0,7
626,2,1,1959,1.178093691503752,2,1
1297,2,3,1970,1.1493914032472137,2,1
4056,3,3,1992,2.7975280793420216,1,4
3560,1,1,2005,1.5126884427689244,0,1
3493,1,1,2011,1.1401485789956691,2,9
4993,3,2,1966,2.237953967676638,1,3
4864,2,2,1997,1.0686041659152976,2,2
4671,4,3,2017,1.9312230764791345,1,7
3175,5,3,2004,4.040187533182891,1,4
2497,3,1,2000,1.6411285264836613,2,7
3338,4,1,1958,1.026552761860758,2,8
1618,3,1,1959,1.9036035749151736,1,4
3766,5,1,1980,2.208275440032516,0,5
2989,1,2,1963,2.019421858996556,2,5
2765,4,1,2002,3.0144467508097894,2,4
4656,1,2,1959,2.2920250728110525,0,2
3097,1,2,1989,4.289070476780348,2,7
2028,2,3,1967,1.784789510533302,2,2
1818,2,1,2008,3.4941434378850698,1,9
4143,3,3,1969,4.953903860342006,1,8
1424,4,3,1954,4.428989792439024,2,6
1981,4,3,1984,3.9537447376581754,2,10
3332,5,2,1962,1.751447817798604,2,2
2636,4,1,2022,3.956024458909444,1,8
3827,3,2,2006,2.372981264804072,0,1
3396,3,3,2007,3.668374720946026,0,10
2688,2,3,1997,2.2904787900066035,0,10
598,4,2,1983,0.6905402544757273,0,7
1945,5,3,1994,0.8141029457658302,0,6
1116,4,2,2000,0.7045362519610818,2,7
2871,5,1,1974,3.4269136197073893,2,6
3456,2,1,2014,4.052715342908236,1,9
1025,4,3,2019,1.4489880245635467,0,6
2625,5,1,2001,4.19192069116559,0,4
4533,2,1,1971,2.856202462186753,1,6
1145,1,3,2008,0.919382538032126,1,3
1995,2,1,1983,0.5658271649495408,1,1
4145,3,1,1993,3.2243529087841427,1,7
4658,5,1,1975,1.1204837121020468,2,3
1253,5,1,1974,3.268641439770863,0,3
2186,4,2,1978,0.5391776617814461,0,6
2207,1,3,1962,4.563921775444422,1,1
1446,1,2,2010,0.916251970725337,0,9
3306,4,3,1978,1.7503032344295448,1,8
1216,4,2,1973,3.094125969009893,1,1
4094,4,1,2021,3.795748009688997,1,10
2125,2,1,2012,4.524193032153863,1,2
1869,5,1,2020,4.722861847361648,1,1
2582,3,2,1982,3.9219094025711225,1,6
1010,5,1,1972,4.531478815366968,1,4
4219,1,3,1999,3.435059089095984,1,1
3060,3,1,1969,2.9081855015615763,2,6
2826,3,3,2020,0.7498626476411775,2,1
3431,3,2,1970,4.321305524757669,2,7
4642,4,1,1966,0.7023264871619801,1,10
2323,5,2,1976,3.928476253380998,2,2
3876,1,1,1974,3.625941977645789,0,5
4127,1,2,1990,4.216629682922137,1,4
4443,4,3,1976,4.741456728546074,1,1
2408,2,2,1975,1.13498417309608,0,8
3652,1,3,1994,2.81015694601212,1,9
2494,3,1,1990,4.112830440479957,1,3
1036,4,3,1967,1.9321791862357665,1,10
1332,4,1,2006,1.7701811168581978,0,7
3509,5,1,1977,1.2000714659118603,1,2
753,4,1,2015,4.146163640147891,1,6
4699,2,2,2010,2.9960946940103885,2,2
3794,1,1,1987,2.0768596250458886,0,1
2761,2,2,1985,2.451967547081079,1,6
2193,5,1,1968,3.6618809263620298,0,10
3690,3,1,1996,4.888309891889787,0,9
1650,5,2,2022,4.098730611284238,2,9
